ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	ALIGNMENT
1196	NdandaNgwa	to fly	fé	fé	f é/e		2023	f - é/e
1197	NdandaTwefap	to fly	ntě	ntě	ⁿt ě/e		2025	ⁿt ě/e
1198	NdandaDenfap	to fly	tě	tě	t ě/e		2025	t ě/e
1199	NdandaZua	to fly	ndì ʒìhɔ̀	ndì_ʒìhɔ̀	ⁿd ì/i + ʒ ì/i h ɔ̀/ɔ		2025 2024	ⁿd ì/i + ʒ ì/i h ɔ̀/ɔ
1200	Goshimjang	to fly	nì ʒɔ̀	nì_ʒɔ̀	n ì/i + ʒ ɔ̀/ɔ		2023 2024	n - ì/i + ʒ - - ɔ̀/ɔ
1441	NdandaNyep	to freeze	ŋɨ̌p	ŋɨ̌p	ŋ ɨ̌/ɨ p		2037	ŋ ɨ̌/ɨ p
1442	NdandaShingou	to freeze	ŋɨ̌p	ŋɨ̌p	ŋ ɨ̌/ɨ p		2037	ŋ ɨ̌/ɨ p
1443	NdandaCaa	to freeze	kpwǐt ntǔgɛ̌	kpwǐt_ntǔgɛ̌	k pʷ ǐ/i t + ⁿt ǔ/u g ɛ̌/ɛ		2039 2040	k pʷ ǐ/i t + ⁿt ǔ/u g ɛ̌/ɛ
1444	NdandaMeno	to freeze	ŋɨ̌p	ŋɨ̌p	ŋ ɨ̌/ɨ p		2037	ŋ ɨ̌/ɨ p
1445	NdandaLek	to freeze	siŋ	siŋ	s i ŋ		2041	s i ŋ
1446	NdandaNgwa	to freeze	kwid	kwid	kʷ i d		2039	kʷ - i d
1447	NdandaTwefap	to freeze	ŋêp	ŋêp	ŋ ê/e p		2037	ŋ ê/e p
1448	NdandaDenfap	to freeze	ŋêp	ŋêp	ŋ ê/e p		2037	ŋ ê/e p
1449	NdandaZua	to freeze	ndì ɲwɛ̀	ndì_ɲwɛ̀	ⁿd ì/i + ɲʷ ɛ̀/ɛ		2040 2037	ⁿd ì/i - - + ɲʷ ɛ̀/ɛ -
