# Wordlist

# DATA
ID	PARAMETER_ID	CONCEPT	DOCULECT	LANGUAGE_NAME	VALUE	FORM	TOKENS	GLOTTOLOG	CONCEPTICON	LATITUDE	LONGITUDE	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	COGIDS	ALIGNMENT
170	1_all	All	Goshimjang	Goshimjang	ɣáŋ	ɣáŋ	ɣ á/a ŋ	ndan1241		5.234168	10.407013		3 7 4	AXN	GAN	1	1.G.C 1.A.V 1.N.c	2.0 1.5 0.8	ɣá/aŋ	0	1	ɣ á/a ŋ
#
431	2_animal	Animal	NdandaNyep	Ndanda_Nyep	nɔ̂	nɔ̂	n ɔ̂/ɔ	bato1245		5.254489	10.471901		4 7	AX	NU	7	7.N.C 7.U.V	2.0 1.5	nɔ̂/ɔ	0	15	n ɔ̂/ɔ -
432	2_animal	Animal	NdandaShingou	Ndanda_Shingou	nɔ̂	nɔ̂	n ɔ̂/ɔ	ndan1241		5.238847	10.491081		4 7	AX	NU	8	8.N.C 8.U.V	2.0 1.5	nɔ̂/ɔ	0	15	n ɔ̂/ɔ -
433	2_animal	Animal	NdandaCaa	Ndanda_Ca-a	nɔ̂	nɔ̂	n ɔ̂/ɔ	ndan1241		5.14715	10.3942		4 7	AX	NU	2	2.N.C 2.U.V	2.0 1.5	nɔ̂/ɔ	0	15	n ɔ̂/ɔ -
434	2_animal	Animal	NdandaMeno	Ndanda_Meno	nɔ̂	nɔ̂	n ɔ̂/ɔ	ndan1241		5.069482	10.425853		4 7	AX	NU	5	5.N.C 5.U.V	2.0 1.5	nɔ̂/ɔ	0	15	n ɔ̂/ɔ -
435	2_animal	Animal	NdandaLek	Ndanda_Lek	nɔ̂	nɔ̂	n ɔ̂/ɔ	ndan1241		5.150741	10.429029		4 7	AX	NU	4	4.N.C 4.U.V	2.0 1.5	nɔ̂/ɔ	0	15	n ɔ̂/ɔ -
436	2_animal	Animal	NdandaNgwa	Ndanda_Ngwa	nɔ̂	nɔ̂	n ɔ̂/ɔ	ndan1241		5.191047	10.473404		4 7	AX	NU	6	6.N.C 6.U.V	2.0 1.5	nɔ̂/ɔ	0	15	n ɔ̂/ɔ -
437	2_animal	Animal	NdandaTwefap	Ndanda_Twefap	nǔp	nǔp	n ǔ/u p	ndan1241		5.027245	10.473575		4 7 1	AXN	NYP	9	9.N.C 9.Y.V 9.P.c	2.0 1.5 0.8	nǔ/up	0	15	n ǔ/u p
438	2_animal	Animal	NdandaDenfap	Ndanda_Denfap	nôp	nôp	n ô/o p	ndan1241		5.111459	10.336031		4 7 1	AXN	NUP	3	3.N.C 3.U.V 3.P.c	2.0 1.5 0.8	nô/op	0	15	n ô/o p
439	2_animal	Animal	NdandaZua	Ndanda_Zua	ɲɔ̀	ɲɔ̀	ɲ ɔ̀/ɔ						4 7	AX	NU	10	10.N.C 10.U.V	2.0 1.5	ɲɔ̀/ɔ	0	15	ɲ ɔ̀/ɔ -
440	2_animal	Animal	Goshimjang	Goshimjang	ɲɔ̀	ɲɔ̀	ɲ ɔ̀/ɔ	ndan1241		5.234168	10.407013		4 7	AX	NU	1	1.N.C 1.U.V	2.0 1.5	ɲɔ̀/ɔ	0	15	ɲ ɔ̀/ɔ -
#
1671	3_ash	Ash	NdandaNyep	Ndanda_Nyep	bvɔ́mǔ	bvɔ́mǔ	bv ɔ́/ɔ m ǔ/u	bato1245		5.254489	10.471901		2 7 4 7	AXBZ	BUMY	7	7.B.C 7.U.V 7.M.C 7.Y.V	2.0 1.5 1.75 0.8	bvɔ́/ɔmǔ/u	0	26	bv ɔ́/ɔ m ǔ/u -
1672	3_ash	Ash	NdandaShingou	Ndanda_Shingou	bvɨ̌mǔ	bvɨ̌mǔ	bv ɨ̌/ɨ m ǔ/u	ndan1241		5.238847	10.491081		2 7 4 7	AXBZ	BIMY	8	8.B.C 8.I.V 8.M.C 8.Y.V	2.0 1.5 1.75 0.8	bvɨ̌/ɨmǔ/u	0	26	bv ɨ̌/ɨ m ǔ/u -
1673	3_ash	Ash	NdandaCaa	Ndanda_Ca-a	bvɔ́mǔ	bvɔ́mǔ	bv ɔ́/ɔ m ǔ/u	ndan1241		5.14715	10.3942		2 7 4 7	AXBZ	BUMY	2	2.B.C 2.U.V 2.M.C 2.Y.V	2.0 1.5 1.75 0.8	bvɔ́/ɔmǔ/u	0	26	bv ɔ́/ɔ m ǔ/u -
1674	3_ash	Ash	NdandaMeno	Ndanda_Meno	bvɨ̌mǔ	bvɨ̌mǔ	bv ɨ̌/ɨ m ǔ/u	ndan1241		5.069482	10.425853		2 7 4 7	AXBZ	BIMY	5	5.B.C 5.I.V 5.M.C 5.Y.V	2.0 1.5 1.75 0.8	bvɨ̌/ɨmǔ/u	0	26	bv ɨ̌/ɨ m ǔ/u -
1675	3_ash	Ash	NdandaLek	Ndanda_Lek	ɱvúmúh	ɱvúmúh	ⁿv ú/u m ú/u h	ndan1241		5.150741	10.429029		3 7 4 7 3	AXBYN	BYMYH	4	4.B.C 4.Y.V 4.M.C 4.Y.V 4.H.c	2.0 1.5 1.75 1.3 0.8	ⁿvú/umú/uh	0	26	ⁿv ú/u m ú/u h
1676	3_ash	Ash	NdandaNgwa	Ndanda_Ngwa	bvɨ̌mǒ	bvɨ̌mǒ	bv ɨ̌/ɨ m ǒ/o	ndan1241		5.191047	10.473404		2 7 4 7	AXBZ	BIMU	6	6.B.C 6.I.V 6.M.C 6.U.V	2.0 1.5 1.75 0.8	bvɨ̌/ɨmǒ/o	0	26	bv ɨ̌/ɨ m ǒ/o -
1677	3_ash	Ash	NdandaTwefap	Ndanda_Twefap	bvɨ̌mǔ	bvɨ̌mǔ	bv ɨ̌/ɨ m ǔ/u	ndan1241		5.027245	10.473575		2 7 4 7	AXBZ	BIMY	9	9.B.C 9.I.V 9.M.C 9.Y.V	2.0 1.5 1.75 0.8	bvɨ̌/ɨmǔ/u	0	26	bv ɨ̌/ɨ m ǔ/u -
1678	3_ash	Ash	NdandaDenfap	Ndanda_Denfap	bvɨ̌mǒ	bvɨ̌mǒ	bv ɨ̌/ɨ m ǒ/o	ndan1241		5.111459	10.336031		2 7 4 7	AXBZ	BIMU	3	3.B.C 3.I.V 3.M.C 3.U.V	2.0 1.5 1.75 0.8	bvɨ̌/ɨmǒ/o	0	26	bv ɨ̌/ɨ m ǒ/o -
1679	3_ash	Ash	NdandaZua	Ndanda_Zua	ɱvúmúh	ɱvúmúh	ⁿv ú/u m ú/u h						3 7 4 7 3	AXBYN	BYMYH	10	10.B.C 10.Y.V 10.M.C 10.Y.V 10.H.c	2.0 1.5 1.75 1.3 0.8	ⁿvú/umú/uh	0	26	ⁿv ú/u m ú/u h
1680	3_ash	Ash	Goshimjang	Goshimjang	ɱvúmúh	ɱvúmúh	ⁿv ú/u m ú/u h	ndan1241		5.234168	10.407013		3 7 4 7 3	AXBYN	BYMYH	1	1.B.C 1.Y.V 1.M.C 1.Y.V 1.H.c	2.0 1.5 1.75 1.3 0.8	ⁿvú/umú/uh	0	26	ⁿv ú/u m ú/u h
#
871	4_back	Back	NdandaNyep	Ndanda_Nyep	ŋkpə̀	ŋkpə̀	ⁿk p ə̀/ə	bato1245		5.254489	10.471901		1 1 7	ACZ	KPE	7	7.K.C 7.P.C 7.E.V	2.0 1.5 0.8	ⁿkpə̀/ə	0	37	ⁿk p ə̀/ə
872	4_back	Back	NdandaShingou	Ndanda_Shingou	ŋkpə̀	ŋkpə̀	ⁿk p ə̀/ə	ndan1241		5.238847	10.491081		1 1 7	ACZ	KPE	8	8.K.C 8.P.C 8.E.V	2.0 1.5 0.8	ⁿkpə̀/ə	0	37	ⁿk p ə̀/ə
873	4_back	Back	NdandaCaa	Ndanda_Ca-a	ŋkpə̀	ŋkpə̀	ⁿk p ə̀/ə	ndan1241		5.14715	10.3942		1 1 7	ACZ	KPE	2	2.K.C 2.P.C 2.E.V	2.0 1.5 0.8	ⁿkpə̀/ə	0	37	ⁿk p ə̀/ə
874	4_back	Back	NdandaMeno	Ndanda_Meno	ŋkpə̀	ŋkpə̀	ⁿk p ə̀/ə	ndan1241		5.069482	10.425853		1 1 7	ACZ	KPE	5	5.K.C 5.P.C 5.E.V	2.0 1.5 0.8	ⁿkpə̀/ə	0	37	ⁿk p ə̀/ə
875	4_back	Back	NdandaLek	Ndanda_Lek	ŋkpə̀	ŋkpə̀	ⁿk p ə̀/ə	ndan1241		5.150741	10.429029		1 1 7	ACZ	KPE	4	4.K.C 4.P.C 4.E.V	2.0 1.5 0.8	ⁿkpə̀/ə	0	37	ⁿk p ə̀/ə
876	4_back	Back	NdandaNgwa	Ndanda_Ngwa	ŋkpə̀	ŋkpə̀	ⁿk p ə̀/ə	ndan1241		5.191047	10.473404		1 1 7	ACZ	KPE	6	6.K.C 6.P.C 6.E.V	2.0 1.5 0.8	ⁿkpə̀/ə	0	37	ⁿk p ə̀/ə
877	4_back	Back	NdandaTwefap	Ndanda_Twefap	ŋkpə̀	ŋkpə̀	ⁿk p ə̀/ə	ndan1241		5.027245	10.473575		1 1 7	ACZ	KPE	9	9.K.C 9.P.C 9.E.V	2.0 1.5 0.8	ⁿkpə̀/ə	0	37	ⁿk p ə̀/ə
878	4_back	Back	NdandaDenfap	Ndanda_Denfap	ŋkpə̀	ŋkpə̀	ⁿk p ə̀/ə	ndan1241		5.111459	10.336031		1 1 7	ACZ	KPE	3	3.K.C 3.P.C 3.E.V	2.0 1.5 0.8	ⁿkpə̀/ə	0	37	ⁿk p ə̀/ə
879	4_back	Back	NdandaZua	Ndanda_Zua	ŋkpə̀	ŋkpə̀	ⁿk p ə̀/ə						1 1 7	ACZ	KPE	10	10.K.C 10.P.C 10.E.V	2.0 1.5 0.8	ⁿkpə̀/ə	0	37	ⁿk p ə̀/ə
880	4_back	Back	Goshimjang	Goshimjang	ŋkpə̀	ŋkpə̀	ⁿk p ə̀/ə	ndan1241		5.234168	10.407013		1 1 7	ACZ	KPE	1	1.K.C 1.P.C 1.E.V	2.0 1.5 0.8	ⁿkpə̀/ə	0	37	ⁿk p ə̀/ə
#
1851	5_bad	Bad	NdandaNyep	Ndanda_Nyep	ŋgɛ́ piijɨ̌	ŋgɛ́_piijɨ̌	ⁿg ɛ́/ɛ + p iː j ɨ̌/ɨ	bato1245		5.254489	10.471901		1 7 9 1 7 6 7	AX_AXBZ	KE_PIJI	7	7.K.C 7.E.V 7._._ 7.P.C 7.I.V 7.J.C 7.I.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	ⁿgɛ́/ɛ+piːjɨ̌/ɨ	0	48 50	ⁿg ɛ́/ɛ + p iː j ɨ̌/ɨ
1852	5_bad	Bad	NdandaShingou	Ndanda_Shingou	ŋgɛ́ piijɨ̌	ŋgɛ́_piijɨ̌	ⁿg ɛ́/ɛ + p iː j ɨ̌/ɨ	ndan1241		5.238847	10.491081		1 7 9 1 7 6 7	AX_AXBZ	KE_PIJI	8	8.K.C 8.E.V 8._._ 8.P.C 8.I.V 8.J.C 8.I.V	2.0 1.5 0.0 2.0 1.5 1.75 0.8	ⁿgɛ́/ɛ+piːjɨ̌/ɨ	0	48 50	ⁿg ɛ́/ɛ + p iː j ɨ̌/ɨ
1853	5_bad	Bad	NdandaCaa	Ndanda_Ca-a	ŋgɛ́ pɨ̌	ŋgɛ́_pɨ̌	ⁿg ɛ́/ɛ + p ɨ̌/ɨ	ndan1241		5.14715	10.3942		1 7 9 1 7	AX_AX	KE_PI	2	2.K.C 2.E.V 2._._ 2.P.C 2.I.V	2.0 1.5 0.0 2.0 1.5	ⁿgɛ́/ɛ+pɨ̌/ɨ	0	48 50	ⁿg ɛ́/ɛ + p ɨ̌/ɨ - -
1854	5_bad	Bad	NdandaMeno	Ndanda_Meno	mbǒ	mbǒ	ⁿb ǒ/o	ndan1241		5.069482	10.425853		1 7	AX	PU	5	5.P.C 5.U.V	2.0 1.5	ⁿbǒ/o	0	50	ⁿb ǒ/o - -
1855	5_bad	Bad	NdandaLek	Ndanda_Lek	kə̀ pɔ̀ŋ	kə̀_pɔ̀ŋ	k ə̀/ə + p ɔ̀/ɔ ŋ	ndan1241		5.150741	10.429029		1 7 9 1 7 4	AX_AXN	KE_PUN	4	4.K.C 4.E.V 4._._ 4.P.C 4.U.V 4.N.c	2.0 1.5 0.0 2.0 1.5 0.8	kə̀/ə+pɔ̀/ɔŋ	0	48 49	k ə̀/ə + p ɔ̀/ɔ ŋ
1856	5_bad	Bad	NdandaNgwa	Ndanda_Ngwa	pɨ̌	pɨ̌	p ɨ̌/ɨ	ndan1241		5.191047	10.473404		1 7	AX	PI	6	6.P.C 6.I.V	2.0 1.5	pɨ̌/ɨ	0	50	p ɨ̌/ɨ - -
1857	5_bad	Bad	NdandaTwefap	Ndanda_Twefap	mbɔ̌	mbɔ̌	ⁿb ɔ̌/ɔ	ndan1241		5.027245	10.473575		1 7	AX	PU	9	9.P.C 9.U.V	2.0 1.5	ⁿbɔ̌/ɔ	0	50	ⁿb ɔ̌/ɔ - -
1858	5_bad	Bad	NdandaDenfap	Ndanda_Denfap	pɨ̌	pɨ̌	p ɨ̌/ɨ	ndan1241		5.111459	10.336031		1 7	AX	PI	3	3.P.C 3.I.V	2.0 1.5	pɨ̌/ɨ	0	50	p ɨ̌/ɨ - -
1859	5_bad	Bad	NdandaZua	Ndanda_Zua	kə̀ bɔ̀ŋ	kə̀_bɔ̀ŋ	k ə̀/ə + b ɔ̀/ɔ ŋ						1 7 9 1 7 4	AX_AXN	KE_PUN	10	10.K.C 10.E.V 10._._ 10.P.C 10.U.V 10.N.c	2.0 1.5 0.0 2.0 1.5 0.8	kə̀/ə+bɔ̀/ɔŋ	0	48 49	k ə̀/ə + b ɔ̀/ɔ ŋ
1860	5_bad	Bad	Goshimjang	Goshimjang	kì bɔ̀ŋ	kì_bɔ̀ŋ	k ì/i + b ɔ̀/ɔ ŋ	ndan1241		5.234168	10.407013		1 7 9 1 7 4	AX_AXN	KI_PUN	1	1.K.C 1.I.V 1._._ 1.P.C 1.U.V 1.N.c	2.0 1.5 0.0 2.0 1.5 0.8	kì/i+bɔ̀/ɔŋ	0	48 49	k ì/i + b ɔ̀/ɔ ŋ
#
571	6_bark	Bark	NdandaNyep	Ndanda_Nyep	ŋkəbə	ŋkəbə	ⁿk ə/ə b ə/ə	bato1245		5.254489	10.471901		1 7 1 7	AXBZ	KEPE	7	7.K.C 7.E.V 7.P.C 7.E.V	2.0 1.5 1.75 0.8	ⁿkə/əbə/ə	0	65	ⁿk ə/ə b ə/ə
572	6_bark	Bark	NdandaShingou	Ndanda_Shingou	ŋkəbə	ŋkəbə	ⁿk ə/ə b ə/ə	ndan1241		5.238847	10.491081		1 7 1 7	AXBZ	KEPE	8	8.K.C 8.E.V 8.P.C 8.E.V	2.0 1.5 1.75 0.8	ⁿkə/əbə/ə	0	65	ⁿk ə/ə b ə/ə
573	6_bark	Bark	NdandaCaa	Ndanda_Ca-a	ŋkəbə	ŋkəbə	ⁿk ə/ə b ə/ə	ndan1241		5.14715	10.3942		1 7 1 7	AXBZ	KEPE	2	2.K.C 2.E.V 2.P.C 2.E.V	2.0 1.5 1.75 0.8	ⁿkə/əbə/ə	0	65	ⁿk ə/ə b ə/ə
574	6_bark	Bark	NdandaMeno	Ndanda_Meno	ŋkəbə	ŋkəbə	ⁿk ə/ə b ə/ə	ndan1241		5.069482	10.425853		1 7 1 7	AXBZ	KEPE	5	5.K.C 5.E.V 5.P.C 5.E.V	2.0 1.5 1.75 0.8	ⁿkə/əbə/ə	0	65	ⁿk ə/ə b ə/ə
575	6_bark	Bark	NdandaLek	Ndanda_Lek	ŋkə̀bə̀	ŋkə̀bə̀	ⁿk ə̀/ə b ə̀/ə	ndan1241		5.150741	10.429029		1 7 1 7	AXBZ	KEPE	4	4.K.C 4.E.V 4.P.C 4.E.V	2.0 1.5 1.75 0.8	ⁿkə̀/əbə̀/ə	0	65	ⁿk ə̀/ə b ə̀/ə
576	6_bark	Bark	NdandaNgwa	Ndanda_Ngwa	ŋkébé	ŋkébé	ⁿk é/e b é/e	ndan1241		5.191047	10.473404		1 7 1 7	AXBZ	KEPE	6	6.K.C 6.E.V 6.P.C 6.E.V	2.0 1.5 1.75 0.8	ⁿké/ebé/e	0	65	ⁿk é/e b é/e
577	6_bark	Bark	NdandaTwefap	Ndanda_Twefap	ŋgɨ̂bé tsé	ŋgɨ̂bé_tsé	ⁿg ɨ̂/ɨ b é/e + ts é/e	ndan1241		5.027245	10.473575		1 7 1 7 9 2 7	AXBZ_AX	KIPE_CE	9	9.K.C 9.I.V 9.P.C 9.E.V 9._._ 9.C.C 9.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	ⁿgɨ̂/ɨbé/e+tsé/e	0	65 66	ⁿg ɨ̂/ɨ b é/e + ts é/e
578	6_bark	Bark	NdandaDenfap	Ndanda_Denfap	ŋkêp	ŋkêp	ⁿk ê/e p	ndan1241		5.111459	10.336031		1 7 1	AXN	KEP	3	3.K.C 3.E.V 3.P.c	2.0 1.5 0.8	ⁿkê/ep	0	65	ⁿk ê/e p -
579	6_bark	Bark	NdandaZua	Ndanda_Zua	ŋkùbè	ŋkùbè	ⁿk ù/u b è/e						1 7 1 7	AXBZ	KYPE	10	10.K.C 10.Y.V 10.P.C 10.E.V	2.0 1.5 1.75 0.8	ⁿkù/ubè/e	0	65	ⁿk ù/u b è/e
580	6_bark	Bark	Goshimjang	Goshimjang	ŋkùbì	ŋkùbì	ⁿk ù/u b ì/i	ndan1241		5.234168	10.407013		1 7 1 7	AXBZ	KYPI	1	1.K.C 1.Y.V 1.P.C 1.I.V	2.0 1.5 1.75 0.8	ⁿkù/ubì/i	0	65	ⁿk ù/u b ì/i
#
841	7_belly	Belly	NdandaNyep	Ndanda_Nyep	ɱvɔ̌p	ɱvɔ̌p	ⁿv ɔ̌/ɔ p	bato1245		5.254489	10.471901		3 7 1	AXN	BUP	7	7.B.C 7.U.V 7.P.c	2.0 1.5 0.8	ⁿvɔ̌/ɔp	0	77	ⁿv ɔ̌/ɔ p
842	7_belly	Belly	NdandaShingou	Ndanda_Shingou	ɱvɔ̌p zú	ɱvɔ̌p_zú	ⁿv ɔ̌/ɔ p + z ú/u	ndan1241		5.238847	10.491081		3 7 1 9 3 7	AXN_AX	BUP_SY	8	8.B.C 8.U.V 8.P.c 8._._ 8.S.C 8.Y.V	2.0 1.5 0.8 0.0 2.0 1.5	ⁿvɔ̌/ɔp+zú/u	0	77 78	ⁿv ɔ̌/ɔ p + z ú/u
843	7_belly	Belly	NdandaCaa	Ndanda_Ca-a	ɱvɔ̌p zí	ɱvɔ̌p_zí	ⁿv ɔ̌/ɔ p + z í/i	ndan1241		5.14715	10.3942		3 7 1 9 3 7	AXN_AX	BUP_SI	2	2.B.C 2.U.V 2.P.c 2._._ 2.S.C 2.I.V	2.0 1.5 0.8 0.0 2.0 1.5	ⁿvɔ̌/ɔp+zí/i	0	77 78	ⁿv ɔ̌/ɔ p + z í/i
844	7_belly	Belly	NdandaMeno	Ndanda_Meno	vɔ̌p	vɔ̌p	v ɔ̌/ɔ p	ndan1241		5.069482	10.425853		3 7 1	AXN	BUP	5	5.B.C 5.U.V 5.P.c	2.0 1.5 0.8	vɔ̌/ɔp	0	77	v ɔ̌/ɔ p
845	7_belly	Belly	NdandaLek	Ndanda_Lek	vòp	vòp	v ò/o p	ndan1241		5.150741	10.429029		3 7 1	AXN	BUP	4	4.B.C 4.U.V 4.P.c	2.0 1.5 0.8	vò/op	0	77	v ò/o p
846	7_belly	Belly	NdandaNgwa	Ndanda_Ngwa	bvǎp	bvǎp	bv ǎ/a p	ndan1241		5.191047	10.473404		2 7 1	AXN	BAP	6	6.B.C 6.A.V 6.P.c	2.0 1.5 0.8	bvǎ/ap	0	77	bv ǎ/a p
847	7_belly	Belly	NdandaTwefap	Ndanda_Twefap	bvǎp	bvǎp	bv ǎ/a p	ndan1241		5.027245	10.473575		2 7 1	AXN	BAP	9	9.B.C 9.A.V 9.P.c	2.0 1.5 0.8	bvǎ/ap	0	77	bv ǎ/a p
848	7_belly	Belly	NdandaDenfap	Ndanda_Denfap	bvǎp	bvǎp	bv ǎ/a p	ndan1241		5.111459	10.336031		2 7 1	AXN	BAP	3	3.B.C 3.A.V 3.P.c	2.0 1.5 0.8	bvǎ/ap	0	77	bv ǎ/a p
849	7_belly	Belly	NdandaZua	Ndanda_Zua	vòp	vòp	v ò/o p						3 7 1	AXN	BUP	10	10.B.C 10.U.V 10.P.c	2.0 1.5 0.8	vò/op	0	77	v ò/o p
850	7_belly	Belly	Goshimjang	Goshimjang	vɔ̀p	vɔ̀p	v ɔ̀/ɔ p	ndan1241		5.234168	10.407013		3 7 1	AXN	BUP	1	1.B.C 1.U.V 1.P.c	2.0 1.5 0.8	vɔ̀/ɔp	0	77	v ɔ̀/ɔ p
#
261	8_big	Big	NdandaNyep	Ndanda_Nyep	ŋgǔʔ	ŋgǔʔ	ⁿg ǔ/u ʔ	bato1245		5.254489	10.471901		1 7 1	AXN	KYH	7	7.K.C 7.Y.V 7.H.c	2.0 1.5 0.8	ⁿgǔ/uʔ	0	95	ⁿg ǔ/u ʔ
262	8_big	Big	NdandaShingou	Ndanda_Shingou	míjǎn ŋgɛ́	míjǎn_ŋgɛ́	m í/i j ǎ/a n + ⁿg ɛ́/ɛ	ndan1241		5.238847	10.491081		4 7 6 7 4 9 1 7	AXBYN_AX	MIJAN_KE	8	8.M.C 8.I.V 8.J.C 8.A.V 8.N.c 8._._ 8.K.C 8.E.V	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5	mí/ijǎ/an+ⁿgɛ́/ɛ	0	94 92	m í/i j ǎ/a n + ⁿg ɛ́/ɛ
263	8_big	Big	NdandaCaa	Ndanda_Ca-a	bûʔu ŋgɛ̌	bûʔu_ŋgɛ̌	b û/u ʔ u + ⁿg ɛ̌/ɛ	ndan1241		5.14715	10.3942		1 7 1 7 9 1 7	AXBZ_AX	PYHY_KE	2	2.P.C 2.Y.V 2.H.C 2.Y.V 2._._ 2.K.C 2.E.V	2.0 1.5 1.75 0.8 0.0 2.0 1.5	bû/uʔu+ⁿgɛ̌/ɛ	0	91 92	b û/u ʔ - u + ⁿg ɛ̌/ɛ
264	8_big	Big	NdandaMeno	Ndanda_Meno	míjǎn ŋgɛ́	míjǎn_ŋgɛ́	m í/i j ǎ/a n + ⁿg ɛ́/ɛ	ndan1241		5.069482	10.425853		4 7 6 7 4 9 1 7	AXBYN_AX	MIJAN_KE	5	5.M.C 5.I.V 5.J.C 5.A.V 5.N.c 5._._ 5.K.C 5.E.V	2.0 1.5 1.75 1.3 0.8 0.0 2.0 1.5	mí/ijǎ/an+ⁿgɛ́/ɛ	0	94 92	m í/i j ǎ/a n + ⁿg ɛ́/ɛ
265	8_big	Big	NdandaLek	Ndanda_Lek	ŋkɔ̀ŋgɛ̀	ŋkɔ̀ŋgɛ̀	ⁿk ɔ̀/ɔ ⁿg ɛ̀/ɛ	ndan1241		5.150741	10.429029		1 7 1 7	AXBZ	KUKE	4	4.K.C 4.U.V 4.K.C 4.E.V	2.0 1.5 1.75 0.8	ⁿkɔ̀/ɔⁿgɛ̀/ɛ	0	90	ⁿk ɔ̀/ɔ ⁿg ɛ̀/ɛ
266	8_big	Big	NdandaNgwa	Ndanda_Ngwa	hǔ	hǔ	h ǔ/u	ndan1241		5.191047	10.473404		3 7	AX	HY	6	6.H.C 6.Y.V	2.0 1.5	hǔ/u	0	93	h ǔ/u
